Time,Count,Cpu Load,Temp,Throttle,Fan Speed,Cpu Freq,Cpu Mem,Cpu Disk,Times,Msg,
14/11/2019 20:18:53,0.002,30.667%,30.67C,0%,0%,0.6GHz,77.6%,69.4%,0s/0s,NoFlag,
14/11/2019 20:18:58,0.003,3.8%,32.13C,-360.9%,0%,0.6GHz,77.6%,69.4%,4.999651s/1.422797s,NoFlag,
14/11/2019 20:19:03,0.004,1.5%,33.59C,-342.6%,0%,0.6GHz,77.6%,69.4%,4.999771s/1.349897s,NoFlag,
14/11/2019 20:19:08,0.005,3.2%,33.59C,-342.6%,0%,0.6GHz,77.5%,69.4%,4.999798s/1.333192s,NoFlag,
14/11/2019 20:19:13,0.006,8.5%,34.08C,-336.6%,0%,0.6GHz,77.6%,69.4%,4.999868s/1.313104s,NoFlag,
14/11/2019 20:19:18,0.007,2.0%,34.56C,-330.5%,0%,0.6GHz,77.6%,69.4%,4.999877s/1.323279s,NoFlag,
14/11/2019 20:19:23,0.008,2.5%,34.56C,-330.5%,0%,0.6GHz,77.6%,69.4%,4.999906s/1.298391s,NoFlag,
14/11/2019 20:19:28,0.009,4.0%,35.54C,-318.3%,0%,1.5GHz,77.6%,69.4%,4.999885s/1.329101s,NoFlag,
14/11/2019 20:19:33,0.01,1.5%,35.05C,-324.4%,0%,0.6GHz,77.5%,69.4%,4.99988s/1.316996s,NoFlag,
14/11/2019 20:19:38,0.011,9.8%,36.02C,-312.2%,0%,0.6GHz,77.5%,69.4%,4.999916s/1.302891s,NoFlag,
14/11/2019 20:19:43,0.012,6.8%,37.0C,-300.0%,0%,1.5GHz,77.6%,69.4%,4.996785s/1.285434s,NoFlag,
14/11/2019 20:19:48,0.013,2.2%,37.0C,-300.0%,0%,0.6GHz,77.6%,69.4%,5.000087s/1.300982s,NoFlag,
14/11/2019 20:19:53,0.014,6.4%,37.48C,-293.9%,0%,0.6GHz,77.6%,69.4%,4.999913s/1.619731s,NoFlag,
14/11/2019 20:19:58,0.015,1.2%,37.48C,-293.9%,0%,0.6GHz,77.6%,69.4%,5.000086s/1.303529s,NoFlag,
14/11/2019 20:20:03,0.016,9.9%,37.97C,-287.8%,0%,1.5GHz,77.6%,69.4%,5.000049s/1.336656s,NoFlag,
14/11/2019 20:20:08,0.017,3.7%,37.97C,-287.8%,0%,0.6GHz,77.6%,69.4%,4.99996s/1.418301s,NoFlag,
14/11/2019 20:20:13,0.018,1.7%,38.46C,-281.8%,0%,0.6GHz,77.6%,69.4%,5.000063s/1.320072s,NoFlag,
14/11/2019 20:20:18,0.019,9.3%,38.46C,-281.8%,0%,0.6GHz,77.6%,69.4%,4.999999s/1.381086s,NoFlag,
14/11/2019 20:20:23,0.02,2.8%,38.95C,-275.7%,0%,0.6GHz,77.6%,69.4%,4.999929s/1.453621s,NoFlag,
14/11/2019 20:20:28,0.021,1.5%,38.95C,-275.7%,0%,0.6GHz,77.6%,69.4%,5.000023s/1.36223s,NoFlag,
14/11/2019 20:20:33,0.022,1.8%,39.92C,-263.5%,0%,0.6GHz,77.6%,69.4%,5.000027s/1.362445s,NoFlag,
14/11/2019 20:20:38,0.023,3.3%,39.43C,-269.6%,0%,0.6GHz,77.5%,69.4%,4.999972s/1.407561s,NoFlag,
14/11/2019 20:20:43,0.024,15.2%,40.41C,-257.4%,0%,0.6GHz,77.6%,69.4%,4.999958s/1.401783s,NoFlag,
14/11/2019 20:20:48,0.025,1.8%,39.92C,-263.5%,0%,0.6GHz,77.6%,69.4%,4.999933s/1.48093s,NoFlag,
14/11/2019 20:20:53,0.026,2.3%,39.92C,-263.5%,0%,0.6GHz,77.6%,69.4%,4.999711s/1.673722s,NoFlag,
14/11/2019 20:20:58,0.027,1.5%,39.43C,-269.6%,0%,0.6GHz,77.7%,69.4%,5.000095s/1.304158s,NoFlag,
14/11/2019 20:21:03,0.028,2.5%,40.89C,-251.3%,0%,0.6GHz,77.6%,69.4%,5.000082s/1.313923s,NoFlag,
14/11/2019 20:21:08,0.029,9.1%,40.89C,-251.3%,0%,0.6GHz,77.7%,69.4%,5.000137s/1.313863s,NoFlag,
14/11/2019 20:21:13,0.03,2.5%,41.38C,-245.2%,0%,0.6GHz,77.7%,69.4%,4.99998s/1.328946s,NoFlag,
14/11/2019 20:21:18,0.031,1.5%,41.38C,-245.2%,0%,0.6GHz,77.6%,69.4%,5.000062s/1.325136s,NoFlag,
14/11/2019 20:21:23,0.032,3.5%,42.35C,-233.1%,0%,0.6GHz,77.8%,69.4%,4.999923s/1.30302s,NoFlag,
14/11/2019 20:21:28,0.033,8.8%,41.38C,-245.2%,0%,1.5GHz,77.6%,69.4%,5.000013s/1.31406s,NoFlag,
14/11/2019 20:21:33,0.034,11.6%,42.84C,-227.0%,0%,1.5GHz,77.6%,69.4%,5.000039s/1.311595s,NoFlag,
14/11/2019 20:21:38,0.035,3.2%,41.87C,-239.1%,0%,0.6GHz,77.6%,69.4%,5.000032s/1.333988s,NoFlag,
14/11/2019 20:21:43,0.036,6.8%,41.38C,-245.2%,0%,1.5GHz,77.6%,69.4%,4.999969s/1.303641s,NoFlag,
14/11/2019 20:21:48,0.037,6.6%,41.87C,-239.1%,0%,0.6GHz,77.7%,69.4%,5.000023s/1.369692s,NoFlag,
14/11/2019 20:21:53,0.038,4.0%,41.87C,-239.1%,0%,0.6GHz,77.7%,69.4%,4.999585s/1.796749s,NoFlag,
